LocID,state,Location,station_type,active,latitude,longitude,start_date,facility,county,ShefID,sys_name,display_name,tz_offset,elevation
110,FL,JAY,FAWN,Y,30.775,-87.14,9/18/2002 00:00:00,WFREC,SANTA ROSA,,JAY,Jay,-6,64
130,FL,MARIANNA,FAWN,Y,30.85,-85.165,9/24/2002 00:00:00,NFREC,JACKSON,,MARIANNA,Marianna,-6,35
140,FL,QUINCY,FAWN,Y,30.546,-84.599,9/24/2002 00:00:00,NFREC,GADSEN,,QUINCY,Quincy,-5,73
150,FL,CARRABELLE,FAWN,Y,29.842,-84.695,3/24/2003 00:00:00,Division of Forestry Work Camp,FRANKLIN,,CARRABELLE,Carrabelle,-5,6
160,FL,MONTICELLO,FAWN,Y,30.532,-83.92,4/30/2003 09:17:57,NFREC,JEFFERSON,,MONTICELLO,Monticello,-5,50
170,FL,LIVE OAK,FAWN,Y,30.305,-82.899,9/24/2002 00:00:00,NFREC,SUWANEE,,LIVE_OAK,Live Oak,-5,50
180,FL,MACCLENNY,FAWN,Y,30.281,-82.138,9/17/2002 14:00:00,Baker County Extension Office,BAKER,,MACCLENNY,Macclenny,-5,38
230,FL,BRONSON,FAWN,Y,29.4,-82.586,9/24/2002 00:00:00,UF Dept. of Astronomy Rosemary Hill Observatory,LEVY,,BRONSON,Bronson,-5,35
240,FL,PUTNAM HALL,FAWN,Y,29.697,-81.986,1/24/2001 00:00:00,Ordway Preserve,PUTNAM,PHAF1,PUTNAM_HALL,Putnam Hall,-5,45
250,FL,CITRA,FAWN,Y,29.411,-82.17,10/10/2000 00:00:00,Plant SCience REC,MARION,TRAF1,CITRA,Citra,-5,18
260,FL,ALACHUA,FAWN,Y,29.803,-82.411,4/13/1999 00:00:00,Dept. of Agronomy Forage Research Unit,ALACHUA,ALHF1,ALACHUA,Alachua,-5,49
270,FL,HASTINGS,FAWN,Y,29.693,-81.445,8/4/1999 00:00:00,Agricultural Experiment Station - Hastings REC,ST JOHNS,STNF1,HASTINGS,Hastings,-5,8
280,FL,OCKLAWAHA,FAWN,Y,29.02,-81.969,12/19/1998 00:00:00,Carney Island County Park,MARION,CKHF1,OCKLAWAHA,Ocklawaha,-5,24
